id,kanji,english_meaning,introduced_level,compound_count,compound_refs
N3_K001,合,fit; join; combine,N3,6,N3_V001 N3_V130 N3_V211 N3_V360 N3_V388 N3_V507
N3_K002,部,part; section; department,N3,2,N3_V002 N3_V365
N3_K003,彼,he; him; that,N3,2,N3_V003 N3_V163
N3_K004,内,inside; within,N3,3,N3_V004 N3_V366 N3_V384
N3_K005,実,truth; reality; fruit,N3,3,N3_V005 N3_V355 N3_V404
N3_K006,当,hit; correspond; appropriate,N3,3,N3_V006 N3_V316 N3_V395
N3_K007,戦,war; battle; fight,N3,2,N3_V007 N3_V293
N3_K008,性,nature; sex; characteristic,N3,2,N3_V008 N3_V367
N3_K009,対,opposite; versus; pair,N3,4,N3_V009 N3_V200 N3_V374 N3_V436
N3_K010,関,relation; barrier; concern,N3,2,N3_V010 N3_V368
N3_K011,感,feeling; sensation,N3,4,N3_V011 N3_V109 N3_V139 N3_V534
N3_K012,定,decide; fixed; determine,N3,12,N3_V012 N3_V058 N3_V132 N3_V147 N3_V155 N3_V229 N3_V230 N3_V320 N3_V385 N3_V412 N3_V424 N3_V505
N3_K013,政,government; politics,N3,3,N3_V013 N3_V369 N3_V531
N3_K014,取,take; get,N3,3,N3_V014 N3_V370 N3_V493
N3_K015,所,place; point,N3,2,N3_V015 N3_V121
N3_K016,現,present; appear; actual,N3,2,N3_V005 N3_V016
N3_K017,最,most; extreme,N3,3,N3_V063 N3_V371 N3_V567
N3_K018,化,change; transform; -ization,N3,3,N3_V017 N3_V372 N3_V443
N3_K019,民,people; nation,N3,3,N3_V018 N3_V052 N3_V110
N3_K020,相,mutual; aspect; minister,N3,5,N3_V019 N3_V216 N3_V407 N3_V532 N3_V578
N3_K021,法,law; method,N3,2,N3_V020 N3_V373
N3_K022,全,whole; all,N3,2,N3_V021 N3_V281
N3_K023,情,feeling; condition; information,N3,4,N3_V011 N3_V022 N3_V102 N3_V244
N3_K024,向,direction; face toward,N3,2,N3_V023 N3_V374
N3_K025,平,flat; peaceful; equal,N3,2,N3_V024 N3_V222
N3_K026,成,become; accomplish,N3,6,N3_V025 N3_V145 N3_V146 N3_V346 N3_V420 N3_V541
N3_K027,経,pass through; manage; experience,N3,2,N3_V026 N3_V375
N3_K028,信,believe; trust; message,N3,5,N3_V027 N3_V169 N3_V182 N3_V383 N3_V418
N3_K029,面,face; surface; aspect,N3,3,N3_V028 N3_V037 N3_V326
N3_K030,連,connect; take along,N3,3,N3_V029 N3_V368 N3_V376
N3_K031,原,field; origin; original,N3,2,N3_V030 N3_V377
N3_K032,顔,face,N3,4,N3_V031 N3_V263 N3_V341 N3_V470
N3_K033,機,machine; opportunity; function,N3,4,N3_V032 N3_V378 N3_V437 N3_V528
N3_K034,次,next; order,N3,2,N3_V033 N3_V379
N3_K035,数,number; count,N3,6,N3_V034 N3_V036 N3_V080 N3_V201 N3_V400 N3_V597
N3_K036,美,beauty; beautiful,N3,2,N3_V035 N3_V380
N3_K037,回,turn; occurrence; revolve,N3,2,N3_V033 N3_V036
N3_K038,表,surface; table; express,N3,2,N3_V037 N3_V168
N3_K039,声,voice,N3,4,N3_V038 N3_V066 N3_V545 N3_V547
