id,kanji,english_meaning,introduced_level,compound_count,compound_refs
N4_K001,言,say; word; speech,N4,2,N4_V001 N4_V002
N4_K002,手,hand,N4,4,N4_V003 N4_V004 N4_V154 N4_V323
N4_K003,自,self; oneself,N4,3,N4_V005 N4_V006 N4_V105
N4_K004,者,person; someone,N4,4,N4_V007 N4_V008 N4_V170 N4_V347
N4_K005,事,thing; matter; event,N4,5,N4_V009 N4_V010 N4_V016 N4_V145 N4_V299
N4_K006,思,think; thought,N4,2,N4_V011 N4_V012
N4_K007,会,meet; meeting,N4,8,N4_V013 N4_V014 N4_V015 N4_V122 N4_V260 N4_V282 N4_V310 N4_V333
N4_K008,家,house; home; family,N4,5,N4_V016 N4_V017 N4_V018 N4_V393 N4_V413
N4_K009,的,target; -like; adjectival suffix,N4,3,N4_V019 N4_V020 N4_V114
N4_K010,方,direction; way; person (polite),N4,9,N4_V021 N4_V022 N4_V023 N4_V025 N4_V118 N4_V140 N4_V179 N4_V181 N4_V184
N4_K011,地,ground; land; place,N4,4,N4_V024 N4_V025 N4_V026 N4_V201
N4_K012,目,eye; item; order,N4,5,N4_V019 N4_V027 N4_V028 N4_V114 N4_V137
N4_K013,場,place; location,N4,5,N4_V015 N4_V029 N4_V030 N4_V036 N4_V234
N4_K014,代,generation; substitute; fee,N4,6,N4_V031 N4_V032 N4_V033 N4_V068 N4_V127 N4_V251
N4_K015,私,I; private,N4,2,N4_V034 N4_V035
N4_K016,立,stand; establish,N4,4,N4_V034 N4_V036 N4_V037 N4_V165
N4_K017,物,thing; object,N4,5,N4_V038 N4_V039 N4_V040 N4_V194 N4_V286
N4_K018,田,rice field,N4,2,N4_V041 N4_V042
N4_K019,体,body; form,N4,7,N4_V043 N4_V044 N4_V045 N4_V103 N4_V156 N4_V334 N4_V353
N4_K020,動,move; motion,N4,4,N4_V005 N4_V038 N4_V046 N4_V216
N4_K021,社,company; shrine; society,N4,3,N4_V013 N4_V047 N4_V048
N4_K022,知,know; knowledge,N4,3,N4_V049 N4_V050 N4_V051
N4_K023,理,reason; logic,N4,3,N4_V052 N4_V053 N4_V143
