id,kanji,english_meaning,introduced_level,compound_count,compound_refs
N2_K001,軍,army; military,N2,2,N2_V001 N2_V364
N2_K002,兵,soldier; troops,N2,2,N2_V002 N2_V365
N2_K003,島,island,N2,3,N2_V003 N2_V177 N2_V366
N2_K004,村,village,N2,2,N2_V004 N2_V367
N2_K005,門,gate; branch; field,N2,3,N2_V005 N2_V122 N2_V368
N2_K006,戸,door; household,N2,1,N2_V006
N2_K007,武,military; warrior,N2,2,N2_V007 N2_V369
N2_K008,城,castle,N2,2,N2_V008 N2_V370
N2_K009,総,whole; general; total,N2,2,N2_V009 N2_V371
N2_K010,団,group; association,N2,2,N2_V010 N2_V372
N2_K011,線,line; track; wire,N2,2,N2_V011 N2_V373
N2_K012,設,establish; set up,N2,1,N2_V012
N2_K013,勢,force; power; condition,N2,2,N2_V013 N2_V374
N2_K014,党,party; faction,N2,2,N2_V014 N2_V375
N2_K015,史,history,N2,2,N2_V015 N2_V376
N2_K016,営,manage; operate; camp,N2,1,N2_V377
N2_K017,府,urban prefecture; government office,N2,2,N2_V016 N2_V378
N2_K018,巻,roll; volume; wind,N2,2,N2_V017 N2_V379
N2_K019,介,mediate; assist; introduce,N2,3,N2_V018 N2_V185 N2_V380
N2_K020,蔵,storehouse; store; possess,N2,2,N2_V019 N2_V381
N2_K021,造,make; build; create,N2,2,N2_V020 N2_V382
N2_K022,根,root; basis,N2,3,N2_V021 N2_V383 N2_V451
N2_K023,寺,Buddhist temple,N2,2,N2_V022 N2_V384
N2_K024,査,investigate; inspect,N2,2,N2_V023 N2_V179
N2_K025,将,commander; future; about to,N2,2,N2_V024 N2_V385
N2_K026,改,reform; revise; change,N2,5,N2_V025 N2_V085 N2_V240 N2_V382 N2_V386
N2_K027,県,prefecture,N2,3,N2_V026 N2_V387 N2_V506
N2_K028,泉,spring; fountain,N2,1,N2_V027
N2_K029,像,image; statue,N2,4,N2_V028 N2_V347 N2_V388 N2_V435
N2_K030,細,thin; fine; detailed,N2,1,N2_V029
N2_K031,谷,valley,N2,1,N2_V030
N2_K032,奥,interior; inner part,N2,1,N2_V031
N2_K033,再,again; re-,N2,2,N2_V032 N2_V389
N2_K034,血,blood,N2,4,N2_V033 N2_V211 N2_V390 N2_V443
N2_K035,算,calculate; count,N2,2,N2_V034 N2_V391
N2_K036,象,elephant; image; phenomenon,N2,2,N2_V035 N2_V115
N2_K037,清,pure; clean,N2,4,N2_V036 N2_V312 N2_V336 N2_V392
N2_K038,技,skill; technique,N2,3,N2_V037 N2_V393 N2_V412
N2_K039,州,state; province; sandbank,N2,2,N2_V038 N2_V394
N2_K040,領,territory; domain; receive,N2,2,N2_V039 N2_V395
N2_K041,橋,bridge,N2,1,N2_V040
N2_K042,芸,art; performance,N2,2,N2_V041 N2_V396
N2_K043,型,type; model; mold,N2,2,N2_V042 N2_V397
N2_K044,香,fragrance; incense,N2,2,N2_V043 N2_V398
N2_K045,量,quantity; measure,N2,3,N2_V044 N2_V094 N2_V399
N2_K046,久,long time,N2,1,N2_V045
N2_K047,境,boundary; border; situation,N2,2,N2_V046 N2_V400
N2_K048,階,floor; level; rank,N2,3,N2_V047 N2_V168 N2_V401
N2_K049,区,district; ward; divide,N2,2,N2_V048 N2_V402
N2_K050,波,wave,N2,3,N2_V049 N2_V403 N2_V463
